"# Data source: Igor Yashayaev 2022, May 24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# SHIP: Hudson ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Cruise: Deep-Ocean Observations and Research Synthesis (DOORS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Region: Labrador Sea; AR07W ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# EXPOCODE: 18HU20160430 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# DATES: 20160430 - 20160524 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Chief Scientist: I.Yashayaev ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 36 stations with 24 place Rosette ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Bottom depths approximated from max(MaxSampPressure)+10, global topography) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,NH4,NH4_FLAG_W,CFC-12,CFC-12_FLAG_W,SF6,SF6_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,PH_TOT,PH_TOT_FLAG_W,PH_TMP
,,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,FMOL/KG,,UMOL/KG,,UMOL/KG,,,,DEG C
  18HU20160430, AR07W,7,1,433026,1,2,20160502,128,46.9582,-60.2153,81,73.6,-0.0515,31.4368,2,31.3299,2,339.6,2,352.9,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,2065.8,2,2129.4,2,7.693,2,25
  18HU20160430, AR07W,7,1,433027,2,2,20160502,129,46.9582,-60.2153,81,60.3,0.1285,31.0347,2,-999,9,352.9,2,368.5,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999
  18HU20160430, AR07W,7,1,433028,3,2,20160502,130,46.9582,-60.2153,81,50.4,0.6027,30.7094,2,30.7606,2,361.1,2,376.7,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,2005.7,2,2122.3,2,7.769,2,25
  18HU20160430, AR07W,7,1,433029,4,2,20160502,131,46.9582,-60.2153,81,40.2,0.754,30.5238,2,-999,9,364.5,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999
  18HU20160430, AR07W,7,1,433030,5,2,20160502,132,46.9582,-60.2153,81,30.7,1.0288,30.4128,2,30.4772,2,365.2,2,381.5,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999
  18HU20160430, AR07W,7,1,433031,6,2,20160502,133,46.9582,-60.2153,81,19.9,1.3333,30.2213,2,-999,9,366.2,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999
  18HU20160430, AR07W,7,1,433032,7,2,20160502,134,46.9582,-60.2153,81,9.7,1.5628,30.155,2,30.2249,2,364.7,2,383.2,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,1981.6,2,2094.6,2,7.806,2,25
  18HU20160430, AR07W,7,1,433033,8,2,20160502,135,46.9582,-60.2153,81,1.5,1.7787,30.0747,2,30.097,2,363.1,2,379.2,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,1979.4,2,2082.4,2,7.807,2,25
  18HU20160430, AR07W,9,1,433034,1,2,20160502,344,47.0185,-60.1175,182,169.7,4.0624,33.6286,2,33.6192,2,194.5,2,205.5,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999
  18HU20160430, AR07W,9,1,433035,2,2,20160502,345,47.0185,-60.1175,182,149.8,3.6974,33.4762,2,33.4925,2,207.4,2,217.5,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999
  18HU20160430, AR07W,9,1,433036,3,2,20160502,347,47.0185,-60.1175,182,100.2,1.0559,32.0023,2,-999,9,333.8,2,348.2,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999
  18HU20160430, AR07W,9,1,433037,4,2,20160502,348,47.0185,-60.1175,182,80.2,0.0072,31.6855,2,31.7128,2,349.7,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999
  18HU20160430, AR07W,9,1,433038,5,2,20160502,349,47.0185,-60.1175,182,59.5,-0.0528,31.4836,2,-999,9,366.7,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999
  18HU20160430, AR07W,9,1,433039,6,2,20160502,350,47.0185,-60.1175,182,50.3,-0.2135,31.3501,2,-999,9,370.8,2,387.4,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999
  18HU20160430, AR07W,9,1,433040,7,2,20160502,351,47.0185,-60.1175,182,39.8,-0.1854,31.2671,2,31.3011,2,374,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999
  18HU20160430, AR07W,9,1,433041,8,2,20160502,352,47.0185,-60.1175,182,30.2,-0.5199,31.211,2,-999,9,371.6,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999
  18HU20160430, AR07W,9,1,433042,9,2,20160502,353,47.0185,-60.1175,182,20.3,-0.0326,30.9578,2,-999,9,384.1,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999
  18HU20160430, AR07W,9,1,433043,10,2,20160502,354,47.0185,-60.1175,182,9.9,1.563,30.4865,2,30.4759,2,367.7,2,384.4,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999
  18HU20160430, AR07W,9,1,433044,11,2,20160502,355,47.0185,-60.1175,182,1.3,1.808,30.324,2,30.3353,2,363.8,2,380.2,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999
  18HU20160430, AR07W,11,1,433045,1,2,20160502,620,47.1002,-59.9937,333,322,6.0483,34.8107,2,34.8217,2,118.7,2,126.1,3,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,2253.3,2,2301.7,2,7.513,2,25
