"","NMDS1","NMDS2","Epi0","Epi4","Epi7","Epi16","Epi21","Epi31","Epi92","Epi183","Meso0","Meso4","Meso7","Meso16","Meso21","Meso31","Meso92","Meso183","Bathy0","Bathy4","Bathy7","Bathy16","Bathy21","Bathy31","Bathy92","Bathy183"
"1",0.802375319959206,0.335723778392995,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.632554436119844,1,1,1,1,1,1,1,1
"2",0.908343781714627,0.0921048830921501,1,1,1,1,1,1,1,-0.50175117358239,1,1,1,1,1,-0.847224296724863,-0.995047883410614,-0.9956525565465,1,1,1,1,1,-0.285576359257113,-0.947537228219773,-1
"3",-0.446306379128907,-0.0421012136566939,1,-0.598528022340156,0.151515850383049,-0.575066256847047,-0.18177439450441,0.341692651945575,-0.204213335324183,-0.0538785858691955,1,-0.970014998683979,-0.955880162236756,-0.603061540432864,-0.544366581219593,-0.711618629096461,-0.682621661131652,-0.316152648934747,1,-0.974131745396553,-0.942194072390969,-0.801723464916947,-0.701763259174383,-0.91285475692877,0.286947104593394,0.664404976196168
"4",0.813964028943933,0.00808952721076946,1,1,1,1,1,1,1,-0.304138997753029,1,1,1,1,1,-0.853574141885695,-0.99596031722378,-0.994286099072244,1,1,1,1,1,-0.273178565299844,-0.722155329132476,-1
"5",0.234791041347343,-0.0926022551286598,1,1,1,-0.848429403381554,-0.657667720704305,-0.0396334593506988,-0.689406020904394,-0.831127308894404,1,0.118580467843622,1,1,1,1,-1,-0.112911676168957,1,-0.407875537221027,1,1,1,1,1,1
"6",0.884048640714477,0.0784788041201328,1,1,1,1,1,1,1,-1,1,1,1,1,1,-0.825871559804696,-1,-1,1,1,1,1,1,-0.141805743835053,-1,-1
"7",-0.540563953765627,0.311883576408961,1,1,1,-0.67159577689848,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1
"8",0.17486709562561,0.323742709395254,1,1,1,1,1,1,1,0.263723766630654,0,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1
"9",-0.0253771953645944,0.748952558138222,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1
"10",0.586533580583601,0.332688813063063,0,1,1,1,1,1,1,1,1,1,0.477650426487506,1,1,-0.785892955985008,0.702165353489194,-0.132066022994889,1,1,1,1,1,-0.0484329239562943,1,1
"11",-1.02689095299692,0.345929996571293,0,0,1,1,1,0,0,1,1,-1,-1,-1,-1,-1,1,-1,0,0,0,0,0,0,0,0
"12",0.494680015838377,0.423484340755656,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
"13",0.348450110791118,0.543658175784863,0,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1
"14",-0.817331636898549,0.54535394966276,1,-0.33198749576335,-1,-1,-1,0.94323875314455,0.306212287892466,1,1,-1,-1,-1,-0.763249697279702,-1,-1,1,1,-1,-1,-1,-0.02255587112873,-1,1,1
"15",-0.0744216095280677,0.543596408301857,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1
"16",-0.752296241686504,0.143663064771606,1,1,1,0.638786142159432,1,1,0.543603557057187,0.0661963749108014,0,0,0,1,1,1,1,1,1,-1,-1,-1,1,1,1,1
"17",-0.0859242405119865,-0.206299071700464,1,1,1,-0.862803837424479,-0.286937169655562,0.362149454022537,-0.763583251477247,-0.626732877914775,1,-0.849571533708671,-0.122320179157676,1,1,0.814565777996572,-1,1,1,-0.884605300870842,0.288180442961842,1,1,0.252231629994177,0.945719583471339,1
"18",-0.326376779670612,0.215275046032614,1,1,1,-0.810746631409842,-0.192623088572946,1,1,1,1,-1,-1,1,1,1,1,1,1,-1,-1,1,1,1,1,1
"19",-0.885804714581202,0.933473199411151,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1
"20",-0.648428534649331,0.341760779946752,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1
"21",-0.931944055785304,-0.574289511213667,1,0.928852182655292,1,1,1,0.92472911084802,-0.687123031552368,-1,1,-1,-1,-1,-1,-0.0255676825295622,-1,-1,0,0,0,0,0,0,0,0
"22",-0.511296505592864,-0.172590051724172,1,-0.616289237850649,0.277268828167216,-0.538321296750652,-0.343113563757248,0.179873534271732,-0.353916359252793,-0.351864177444654,1,-1,-0.966106923648162,-0.62540817016071,-0.890837640278646,-0.858717699516798,-0.835754981727548,-0.73641627713445,1,-0.915187678324005,-1,-1,-1,-1,-0.585729743475223,-0.537440905422076
"23",-0.592723214229994,-0.00141068328431867,1,0.25412742375456,1,1,1,1,1,0.925746599886775,0,0,0,0,1,1,1,1,1,-1,-1,-1,1,1,1,1
"24",0.705660775884567,0.90848762350367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
"25",-0.540333159691734,0.801596265822749,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
