"","Epi0","Epi4","Epi7","Epi16","Epi21","Epi31","Epi92","Epi183","Meso0","Meso4","Meso7","Meso16","Meso21","Meso31","Meso92","Meso183","Bathy0","Bathy4","Bathy7","Bathy16","Bathy21","Bathy31","Bathy92","Bathy183"
"Bacteria_Proteobacteria_Gammaproteobacteria_Alteromonadales_Colwelliaceae_Colwellia",20.667318244436,1458.72400755849,34813.7066091253,1954.25120606111,12810.4645677367,4396.7486259631,1056.24335272143,353.703976049411,379.621954376805,7969.54607441793,11594.509527989,73516.225039448,22494.9266913094,23528.402815661,1361.24517819858,619.753505666338,665.542824101285,40121.3269293865,87339.2594753339,124613.328296949,63060.395377532,36985.0289957436,3459.12801555652,1907.13164185315
"Bacteria_Proteobacteria_Gammaproteobacteria_Alteromonadales_Pseudoalteromonadaceae_Pseudoalteromonas",42.7713733253725,9843.98116405079,12809.5601082591,1399.91961689649,1694.26836981751,984.994249652347,139.421539047757,21.3107865636363,5578.33036017202,33008.080237641,22944.0981871188,75743.0613936591,50538.5110791457,852.233343876326,27.624542317684,24.2514758057908,1036.85434168013,6741.30126320415,14527.7992620287,24635.8690014875,15605.7739771701,740.753253703188,54.3962526969026,0
"Bacteria_Proteobacteria_Alphaproteobacteria_SAR11_clade_Surface_1_Candidatus_Pelagibacter",186924.126215349,75044.7986240145,215246.094155976,79430.3686382832,152946.106354288,250794.726614481,148751.726948354,176852.918630031,46219.0582961635,1385.87852383571,2039.17735359666,18346.1218027228,21058.9475442919,13328.7153933182,14668.9279460957,31606.7805845619,48881.1901400977,1264.47107186354,2825.62253868175,9691.99301171446,14578.16683506,4259.76319636981,62907.5061198779,81358.0961115697
"Bacteria_Proteobacteria_Gammaproteobacteria_Alteromonadales_Pseudoalteromonadaceae_Pseudoalteromonas.1",11.9057168004105,3800.43038861954,4983.2377095403,463.867122912616,546.05027548367,320.492704378118,24.8987137054637,8.28472402520225,2686.47301451498,15368.0241480355,11135.8208267572,35612.5928617687,23918.5221139763,393.369116451279,10.8524987655157,15.3502406500282,90.0949701811409,438.025325979746,846.531136059753,1445.736712023,956.57957694346,65.4829554863246,25.0324073367985,0
"Bacteria_Bacteroidetes_Flavobacteriia_Flavobacteriales_Flavobacteriaceae_Polaribacter",5487.37511864141,133536.732874904,243783.607085193,831.724720601692,1878.505631715,5269.8914599347,1704.34567288906,926.667803390865,133.833075238357,149.703063913072,1021.62144696601,33740.3543934548,52606.3944815119,768.750067573337,0,118.721758386348,140.600989067213,83.2532851176157,1124.04185848099,26964.0838110812,42971.7291847302,772.55840675639,781.993042744715,1321.89488267364
"Bacteria_Proteobacteria_Gammaproteobacteria_Alteromonadales_Pseudoalteromonadaceae_Pseudoalteromonas.2",7.937144533607,3789.60154733791,4916.47219308078,592.837734953588,845.268269591385,513.827414036309,64.1660131190712,0,1610.52993096604,8418.3981441216,5308.63541486776,19842.1993325702,13441.2644061827,280.439064766967,0,0,366.154879675072,2274.22645920163,4712.78680676396,7687.27250918209,4897.25970789647,314.232014603914,0,0
"Bacteria_Bacteroidetes_Flavobacteriia_Flavobacteriales_Flavobacteriaceae_Polaribacter.1",1716.49269038632,15147.3651509586,22746.1164938288,563.703448445757,7810.45027147436,28347.3252804772,20367.3186252555,10390.6268390638,0,0,89.8326266497975,1399.91130382824,1980.19585462861,3773.91665005812,13143.2392729427,13273.1067518224,0,0,0,937.474867357811,2312.82454956875,3563.72107053574,23278.0294372127,14812.7143570559
"Bacteria_Proteobacteria_Alphaproteobacteria_Rhodobacterales_Rhodobacteraceae_Sulfitobacter",158.548238191058,2717.93775439983,7228.31729204896,2520.17934882169,8443.4480071474,19449.3468827745,634.305570473476,200.361176759458,0,0,0,12748.9321656235,43011.8424120457,2983.18819853872,51.5000396001019,61.5978843341212,0,0,18.1647462045278,24783.2918746195,71987.1721298059,3004.95558479721,5336.4747173548,1886.76520440741
"Bacteria_Bacteroidetes_Flavobacteriia_Flavobacteriales_Flavobacteriaceae_Polaribacter.2",0,0,0,0,0,0,43.6128370364171,60.0652088664814,0,0,139.590023556143,4974.1038093779,6117.83006334073,13357.1786230978,6370.98406552927,3867.56191588108,0,0,0,761.027034270554,953.489869815622,2112.2767770525,2738.39670733287,2647.03669153017
"Bacteria_Proteobacteria_Gammaproteobacteria_Alteromonadales_Pseudoalteromonadaceae_Pseudoalteromonas.3",0,284.195683211451,426.356821509665,72.7508306378846,176.626762575186,64.2755920788377,170.285856987946,237.910240502841,179.099260617944,395.470453897774,264.646098835702,1019.88662289885,757.694289773872,38.3464132761786,304.856556259396,155.446333546807,389.293532906672,919.742263326495,1369.47104767896,1983.45514573295,1716.1149407737,370.438908830726,1041.85028009535,1182.39375659519
"Bacteria_Proteobacteria_NA_NA_NA_NA",0,0,458.928741158465,6122.73722236629,850.227758753368,0,0,71.1056218162931,2.2386183476763,0,0,0,0,0,20058.0873179171,0,0,0,0,0,0,0,0,0
"Bacteria_Proteobacteria_Gammaproteobacteria_Alteromonadales_Colwelliaceae_Colwellia.1",0,0,0,0,0,0,0,0,0,0,0,2345.80404363585,1727.62271461702,1647.49379872658,0,0,0,0,0,0,0,0,0,0
"Bacteria_Proteobacteria_Gammaproteobacteria_Alteromonadales_Colwelliaceae_Colwellia.2",0,0,1748.22133475498,190.906683779182,86.2111608710909,308.60939964112,74.7496277206498,205.453501560082,0,0,0,1443.89213761854,602.1217122322,588.056784799386,0,0,0,0,0,10924.3284906815,2846.80133068127,3283.47285255297,342.223195922229,118.421160296297
"Bacteria_Proteobacteria_Gammaproteobacteria_Oceanospirillales_Oceanospirillaceae_Pseudospirillum",126.344809066001,84.3999123014807,0,0,0,245.518129235702,165.033142113438,924.748939515884,66.1299062335661,0,0,0,15.6562753196617,0,0,1362.1511704737,25.9517965741213,0,0,0,25.3664311950364,0,714.168249639253,4513.36993108725
"Bacteria_Proteobacteria_Alphaproteobacteria_Rhodobacterales_Rhodobacteraceae_Loktanella",0,89.7003898727616,393.64768267443,206.560900012697,367.608166946178,794.899942069546,2878.50883579486,171.413474262653,0,0,0,2149.96006176525,3539.2817532221,5467.3012633176,1042.71685132151,1655.89729164993,0,0,0,2096.64956331636,3678.95085504363,2228.35185908011,914.420637012027,704.540543823703
"Bacteria_Proteobacteria_Alphaproteobacteria_Rhodobacterales_Rhodobacteraceae_Planktomarina",878.204478950827,2201.45431886419,3584.71540666432,1439.18933008696,6460.92304126559,20295.0636261313,1355.59955753205,936.338431887801,0,0,0,190.192365636519,381.007361233424,133.746597347788,956.883451988004,6933.88335755702,11.2137392600223,0,0,0,129.637631812635,56.9708621758243,2264.21339016291,6976.56320625485
"Bacteria_Proteobacteria_Gammaproteobacteria_Cellvibrionales_Porticoccaceae_SAR92_clade",2867.60731977918,23385.9458281202,45091.3230294769,393.424720047178,2044.78419175817,3906.10974498824,677.95039858224,1070.3835315245,131.006233593759,19.7070667941127,114.981527629798,2435.96114144088,4192.10709332342,237.71942818346,0,432.925171570062,62.8589305895947,7.25358738296689,80.9736450510118,1213.97408375815,2580.56546992646,78.713941111899,122.30585224424,976.021825297115
"Bacteria_Bacteroidetes_Flavobacteriia_Flavobacteriales_Flavobacteriaceae_Polaribacter.3",248.326845122051,897.757069971527,3359.91651026587,46.9966919507147,200.493361239066,553.937223169272,700.003363710314,1789.8887143635,5.70847678771625,0,0,468.748604744809,830.661442621061,30.7375235648714,32.1875247500637,1014.45172103644,11.3539110011781,0,0,552.11619940406,816.357769512097,35.6040252764228,820.341342690207,2562.69659324242
"Bacteria_Proteobacteria_Gammaproteobacteria_Cellvibrionales_Spongiibacteraceae_Spongiibacter",0,0,0,0,0,182.638493440802,779.390019625014,1786.51182921471,0,0,0,0,0,374.527855485683,9609.04905538567,22848.5847823859,0,0,0,0,0,285.770201656416,4494.72665769885,8972.60668377021
