"","Epi0","Epi4","Epi7","Epi16","Epi21","Epi31","Epi92","Epi183","Meso0","Meso4","Meso7","Meso16","Meso21","Meso31","Meso92","Meso183","Bathy0","Bathy4","Bathy7","Bathy16","Bathy21","Bathy31","Bathy92","Bathy183"
"Bacteria_Proteobacteria_Gammaproteobacteria_Alteromonadales_Colwelliaceae_Colwellia",1.1971830985,38.873239435,525.2112676,230,888.45070425,183.02816905,92.887323925,33.09859155,48.098591545,692.4647887,1251.338028,1466.830986,578.4507042,2280.492958,158.5915493,31.549295775,132.81690143,4578.943662,4950.56338,2370.3521125,1864.2957745,2885.0704225,185.422535215,81.97183101
"Bacteria_Proteobacteria_Gammaproteobacteria_Alteromonadales_Pseudoalteromonadaceae_Pseudoalteromonas",3.0459770115,273.045977,193.62068965,163.04597699,118.4482759,43.16091954,13.045977012,2.126436782,672.98850575,3048.275862,2465.9770115,1506.8965515,1161.781609,84.59770115,3.218390805,1.034482759,192.64367818,772.0689655,772.81609195,475.8045977,457.70114945,57.931034485,2.4712643675,0
"Bacteria_Proteobacteria_Alphaproteobacteria_SAR11_clade_Surface_1_Candidatus_Pelagibacter",13814,2264.5,3159.5,9416,10710.5,10899.5,12945.5,16885.5,5332,120,231,370,626,1360.5,1709,2158,7674.5,146,161.5,195.5,429.5,353,2893.5,3895
"Bacteria_Proteobacteria_Gammaproteobacteria_Alteromonadales_Pseudoalteromonadaceae_Pseudoalteromonas.1",0.6896551725,106.09195404,75.172413795,54.08045977,38.333333335,14.3103448285,2.2988505745,0.8620689655,322.98850575,1417.1264365,1195.632184,709.1954023,545.4597701,38.96551724,1.264367816,0.9195402295,17.0689655185,50.689655175,47.471264365,29.540229885,28.16091954,5.4597701145,1.034482759,0
"Bacteria_Bacteroidetes_Flavobacteriia_Flavobacteriales_Flavobacteriaceae_Polaribacter",377.5,3888,3657.25,98.75,130,216.125,141.875,88,16.125,13.625,112.375,650.375,1448.75,73.5,0,12.625,24.75,9.625,65.375,573.5,1259.75,62.5,28.875,57.125
"Bacteria_Proteobacteria_Gammaproteobacteria_Alteromonadales_Pseudoalteromonadaceae_Pseudoalteromonas.2",0.459770115,104.13793104,74.195402295,69.022988505,58.79310345,22.701149425,6.43678161,0,193.50574715,768.90804595,570.1149425,394.77011495,305.9195402,27.75862069,0,0,67.471264355,260.2873563,251.091954,148.333333355,143.6781609,24.942528735,0,0
"Bacteria_Bacteroidetes_Flavobacteriia_Flavobacteriales_Flavobacteriaceae_Polaribacter.1",113.375,423.5,341.75,65.75,543.5,1129.25,1761.5,979,0,0,9.75,27,48.875,345.25,1531.25,500.625,0,0,0,20,67.875,304.5,1040.25,669.375
"Bacteria_Proteobacteria_Alphaproteobacteria_Rhodobacterales_Rhodobacteraceae_Sulfitobacter",12.25,76.5,109.5,294.5,585,778.75,53.25,19.25,0,0,0,262.5,807.75,277.75,6,5,0,0,1.5,578,2129.75,259.5,295,95.75
"Bacteria_Bacteroidetes_Flavobacteriia_Flavobacteriales_Flavobacteriaceae_Polaribacter.2",0,0,0,0,0,0,4.375,6.625,0,0,15,96.5,139.875,1224.5,742.25,187.25,0,0,0,15.875,28,171.375,139.5,128.375
"Bacteria_Proteobacteria_Gammaproteobacteria_Alteromonadales_Pseudoalteromonadaceae_Pseudoalteromonas.3",0,7.758620691,6.4367816095,8.3908046,12.1839080475,3.2183908045,15.057471265,23.96551724,20,38.85057471,29.540229885,21.666666667,13.563218389,3.3908045975,35.51724138,10.114942531,61.14942529,115.17241381,90.86206895,52.87356322,51.379310345,33.10344828,49.31034483,53.67816092
