"","Molecular.Formula","Theor_mz","DBE","HC","OC","NC","C","H","N","O","S","AI","AImod","NOSC","Count","Compound.category","Class","D1","D2","D3","D4","D5","D6","D7","D8","D9","E1","E2","E3","E4","E5","E6","E7","E8","E9","F1","F2","F3","F4","F5","F6","F7","F8","F9","G1","G2","G3","G4","G5","G6","G7","G8","G9","H1","H2","H3","H4","H5","H6","H7","H8","H9","I1","I2","I3"
"1","C10H10O4N0S0",193.050632,6,1,0.4,0,10,10,0,4,0,0.333333333333333,0.5,-0.2,13,"Highly_Unsaturated_and_Phenolic_LowOC","CHO",0,0,0.334375759146992,0.342257373152371,0,0,0,0.342954233803946,0,0,0,0.327276932268577,0,0,0,0,0,0,0,0,0.396532180127325,0.33772431383112,0,0,0,0.350485633725984,0,0,0,0.34167850229361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","C10H10O5N0S0",209.045547,6,1,0.5,0,10,10,0,5,0,0.2,0.466666666666667,0,36,"Highly_Unsaturated_and_Phenolic_HighOC","CHO",0,0.347025068772445,0.396594006883157,0,0,0.329146980983178,0,0.356257420107928,0.369622585243684,0.341579000746872,0,0,0.331530266725783,0,0,0,0.372818626897012,0.385769258918795,0.41104526170484,0.338391526543299,0.386316341870744,0,0.386353921677462,0,0,0,0.331010434536564,0,0.319034982785032,0.33346445135557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.312459661587166,0.351466789543364,0.348986193447009
"5","C10H10O8N0S0",257.030291,6,1,0.8,0,10,10,0,8,0,0,0.333333333333333,0.6,22,"Highly_Unsaturated_and_Phenolic_HighOC","CHO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","C10H11O6N1S0",240.051361,6,1.1,0.6,0.1,10,11,1,6,0,0,0.333333333333333,0.4,4,"Highly_Unsaturated_and_Phenolic_HighOC","CHON",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","C10H11O7N1S0",256.046275,6,1.1,0.7,0.1,10,11,1,7,0,0,0.272727272727273,0.6,5,"Highly_Unsaturated_and_Phenolic_HighOC","CHON",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","C10H11O8N1S0",272.04119,6,1.1,0.8,0.1,10,11,1,8,0,0,0.2,0.8,1,"Highly_Unsaturated_and_Phenolic_HighOC","CHON",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","C10H12O4N0S0",195.066282,5,1.2,0.4,0,10,12,0,4,0,0.166666666666667,0.375,-0.4,13,"Highly_Unsaturated_and_Phenolic_LowOC","CHO",0,0.51361647729322,0.493299590805933,0.457872456326661,0,0,0.42930353942462,0.56078120099775,0.401765645949067,0,0.495018705519953,0.47561707225392,0.523892384020332,0,0,0,0,0,0,0,0.605971812820111,0,0.475796161194091,0,0,0.521985539203206,0,0.634853967627936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","C10H12O9N0S0",275.040855,5,1.2,0.9,0,10,12,0,9,0,0,0.0909090909090909,0.6,3,"Highly_Unsaturated_and_Phenolic_HighOC","CHO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","C10H13O6N1S0",242.067011,5,1.3,0.6,0.1,10,13,1,6,0,0,0.166666666666667,0.2,3,"Highly_Unsaturated_and_Phenolic_HighOC","CHON",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.322033012181007,0,0,0,0.314026368121263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","C10H13O7N1S0",258.061925,5,1.3,0.7,0.1,10,13,1,7,0,0,0.0909090909090909,0.4,9,"Highly_Unsaturated_and_Phenolic_HighOC","CHON",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
