ID;Time;Aliphatic_HighOC_no;Aliphatic_LowOC_no;Condensed_aromatics_no;Condensed_aromatics.X_no;Highly_Unsaturated_and_Phenolic_HighOC_no;Highly_Unsaturated_and_Phenolic_LowOC_no;Peptide_like_no;Polyphenolic_HighOC_no;Polyphenolic_LowOC_no;Sugars_w_X_no;Sugars_wo_X_no;Num.formula_no;Aliphatic_HighOC_percent;Aliphatic_LowOC_percent;Condensed_aromatics_percent;Condensed_aromatics.X_percent;Highly_Unsaturated_and_Phenolic_HighOC_percent;Highly_Unsaturated_and_Phenolic_LowOC_percent;Peptide_like_percent;Polyphenolic_HighOC_percent;Polyphenolic_LowOC_percent;Sugars_w_X_percent;Sugars_wo_X_percent;CHO_no;CHON_no;CHOS_no;CHO.1_no;CHO.2;CHON_percent;CHOS_percent;CHO_percent_percent;AveMass;Mass_WeightedAve;HC_WeightedAve;OC_WeightedAve;NC_WeightedAve;NOSC_WeightedAve;AImod_WeightedAve;AI_WeightedAve;Aliphatic_HighOC_percentRA;Aliphatic_LowOC_percentRA;Condensed_aromatics_percentRA;Condensed_aromatics.X_percentRA;Highly_Unsaturated_and_Phenolic_HighOC_percentRA;Highly_Unsaturated_and_Phenolic_LowOC_percentRA;Peptide_like_percentRA;Polyphenolic_HighOC_percentRA;Polyphenolic_LowOC_percentRA;Sugars_w_X_percentRA;Sugars_wo_X_percentRA;Condensed_Aromatics_percentRA;Polyphenolic_percentRA;Highly_Unsaturated_and_Phenolic_percentRA;Aliphatic_percentRA
M7;4;121;172;22;0;1216;1012;12;63;67;0;4;2689;4.49981405727036;6.39642989959093;0.818148010412793;0;45.2212718482707;37.6348084789885;0.446262551134251;2.34287839345482;2.49163257716623;0;0.148754183711417;2177;258;254;2177;80.9594644849386;9.59464484938639;9.44589066567497;80.9594644849386;507.615269584976;435.009000195772;1.22929860860596;0.512661888522826;0.00277010000131444;-0.19304564392467;0.23902748223919;0.0260721741883936;1.47576623439601;2.57778557611495;0.0855755956165412;0;56.3515469626642;38.5241293150967;0.0664684298548384;0.39922773349076;0.505000392219833;0;0.0144997605461325;0.0855755956165412;0.904228125710593;94.8756762777609;4.05355181051096
M5;4;126;205;9;0;1450;1204;35;53;75;0;1;3158;3.98986700443319;6.4914502849905;0.284990500316656;0;45.9151361621279;38.1253958201393;1.10829639012033;1.67827739075364;2.37492083597213;0;0.0316656111462951;2196;640;322;2196;69.5376820772641;20.2659911336289;10.196326789107;69.5376820772641;496.406324963585;429.626845580572;1.23423497610366;0.505329313331493;0.00607545921813273;-0.202653268236741;0.238891161777744;0.028872375851533;1.45585170827316;2.93217676499424;0.0344324104189855;0;54.7068118327504;39.7725735699062;0.258353585865761;0.324865492978137;0.508503770786418;0;0.0064308640267395;0.0344324104189855;0.833369263764555;94.4793854026566;4.3880284732674
M4;0;117;203;14;0;1407;1152;27;62;76;0;3;3061;3.82228030055537;6.63181966677556;0.457366873570729;0;45.9653707938582;37.6347598823914;0.882064684743548;2.02548186867037;2.4828487422411;0;0.0980071871937275;2229;633;199;2229;72.8193400849396;20.6795164978765;6.50114341718393;72.8193400849396;492.489289966678;428.069001056754;1.22857676702887;0.509203282094843;0.0064903453139454;-0.188890874019601;0.241319085629708;0.0285463088189371;1.36726941219154;2.82291779060308;0.0571602458941966;0;55.8097429495246;38.8361667727181;0.157464443430469;0.390673413960209;0.537339702750223;0;0.0212652689275632;0.0571602458941966;0.928013116710432;94.6459097222427;4.19018720279461
M1;20;127;227;9;0;1493;1170;24;53;67;0;2;3172;4.00378310214376;7.15636822194199;0.283732660781841;0;47.0680958385876;36.8852459016393;0.756620428751576;1.67087011349306;2.11223203026482;0;0.0630517023959647;2190;631;351;2190;69.0416141235813;19.8928121059269;11.0655737704918;69.0416141235813;503.293483930013;432.274192712776;1.23321724929852;0.509323755951065;0.00566777224826198;-0.194818765663209;0.237280382218285;0.0270299463594518;1.49136180321989;2.84733301457152;0.0341299185224057;0;56.24003585396;38.4667740427162;0.123641342377992;0.326762173998267;0.46303342490494;0;0.00692842572875711;0.0341299185224057;0.789795598903207;94.7068098966762;4.33869481779141
M4;7;120;178;8;0;960;908;3;54;48;0;3;2282;5.25854513584575;7.80017528483786;0.35056967572305;0;42.068361086766;39.7896581945662;0.131463628396144;2.36634531113059;2.1034180543383;0;0.131463628396144;2001;96;185;2001;87.6862401402279;4.2068361086766;8.10692375109553;87.6862401402279;513.282962782209;434.781071485819;1.23659447964508;0.511029477718233;0.000957886035102489;-0.21022330196084;0.236150563238446;0.0228434436621711;1.6055584788122;2.74387056842525;0.0317965594809171;0;55.3150963457208;39.5654592923898;0.0122584470304573;0.345891232073826;0.366473437955488;0;0.0135956381112276;0.0317965594809171;0.712364670029314;94.8805556381106;4.34942904723745
M5;0;113;245;13;0;1275;1193;21;49;68;0;1;2978;3.79449294828744;8.22699798522498;0.436534586971122;0;42.8139691067831;40.0604432505037;0.705171255876427;1.645399597045;2.2834116856951;0;0.0335795836131632;2190;579;209;2190;73.5392881128274;19.4425789120215;7.01813297515111;73.5392881128274;496.866467861988;430.471448945069;1.24112820923609;0.496592580250369;0.00533090347067117;-0.230630244971992;0.23888904241222;0.0293799194689598;1.37281752660619;3.33485275809368;0.0561320848455335;0;51.9611836670652;42.3886425949787;0.116439005537286;0.287888094459522;0.477449924593188;0;0.00459434382063105;0.0561320848455335;0.76533801905271;94.349826262044;4.70767028469987
M6;0;98;194;6;0;1274;1184;35;52;71;0;1;2915;3.36192109777015;6.65523156089194;0.205831903945111;0;43.704974271012;40.6174957118353;1.20068610634648;1.78387650085763;2.43567753001715;0;0.0343053173241852;2158;704;53;2158;74.0308747855918;24.1509433962264;1.81818181818182;74.0308747855918;491.902329467925;427.335433317408;1.23735286875096;0.499665352709178;0.0064436623255647;-0.218302839324089;0.240618127586259;0.0288141432246354;1.31129717876878;3.0212690783539;0.0233193742428582;0;52.7627019256221;41.882113695783;0.203768721196867;0.311280249439563;0.478918763409627;0;0.00533101318334062;0.0233193742428582;0.79019901284919;94.6448156214051;4.33256625712268
M3;7;78;173;7;0;1078;1130;23;40;69;0;1;2599;3.00115429011158;6.65640631011928;0.269334359368988;0;41.4774913428242;43.4782608695652;0.884955752212389;1.5390534821085;2.65486725663717;0;0.0384763370527126;2099;500;0;2099;80.7618314736437;19.2381685263563;0;80.7618314736437;493.64089760985;425.299356106037;1.23571355865172;0.493402859130807;0.0052806681194295;-0.233065836031493;0.245290736995317;0.0306123515360861;1.11641595733837;2.92055000936987;0.0230708416769901;0;51.188030007305;43.9149298993959;0.121170171373727;0.24335727786684;0.469254691467477;0;0.00322114420578139;0.0230708416769901;0.712611969334316;95.102959906701;4.03696596670824
M8;7;126;256;12;0;1324;1228;28;44;79;0;1;3098;4.06714009038089;8.26339573918657;0.387346675274371;0;42.7372498386055;39.6384764364106;0.903808908973531;1.42027114267269;2.55003227888961;0;0.0322788896061975;2206;622;270;2206;71.2072304712718;20.0774693350549;8.71530019367334;71.2072304712718;488.432173334409;428.120558671693;1.24073703202419;0.494840635916053;0.00582740310857552;-0.230770352907014;0.239514662453126;0.0308027020947621;1.45986578623857;3.5023656688591;0.0458849664741441;0;51.3913849033875;42.6044310061953;0.161325947818038;0.270651188086912;0.55990945660819;0;0.00418107633221167;0.0458849664741441;0.830560644695102;93.9958159095828;4.96223145509767
M2;0;81;146;8;0;1292;1088;29;57;65;0;2;2768;2.92630057803468;5.27456647398844;0.289017341040462;0;46.6763005780347;39.3063583815029;1.04768786127168;2.05924855491329;2.34826589595376;0;0.0722543352601156;2126;642;0;2126;76.8063583815029;23.1936416184971;0;76.8063583815029;502.323569040462;429.815296711206;1.22701956446428;0.509271063134009;0.0065962446835722;-0.188688704145239;0.242960841992957;0.0263687566919199;1.17256281137003;2.41261719145075;0.032033351433398;0;55.7113477659641;39.6499111045046;0.162346558016571;0.364341986786256;0.485732792138563;0;0.00910643833573385;0.032033351433398;0.850074778924819;95.3612588704687;3.58518000282079
